appid,header_image,windows,mac,linux,metacritic_score,recommendations,developers,publishers,positive,negative,estimated_owners,average_playtime_forever,average_playtime_2weeks,median_playtime_forever,median_playtime_2weeks,pct_pos_total,num_reviews_total,pct_pos_recent,num_reviews_recent,release_year,final_name,final_price,on_steam,on_epic,gen_action,gen_adventure,gen_rpg,gen_simulation,gen_strategy,gen_sports_racing,gen_horror,gen_2d,gen_3d,gen_anime,gen_open_world,gen_sandbox,gen_rogue,gen_scifi,gen_survival,gen_indie,gen_puzzle,gen_arcade,gen_story,gen_fps,lang_english,lang_turkish,cat_singleplayer,cat_controller,cat_multiplayer,cat_coop,cat_online_coop,cat_pvp,cat_split_screen,cat_mmo,is_retro,is_mid_era,is_recent,dev_rockstar,dev_ubisoft,dev_valve,dev_bethesda,dev_ea,dev_square_enix,dev_capcom,dev_fromsoftware,dev_cdprojekt,dev_sony,norm_reviews
699170.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/699170/header.jpg?t=1736373773,1,1,1,82.0,4615.0,['6 Eyes Studio'],['Fulqrum Publishing'],5212.0,687.0,500000 - 1000000,828.0,0.0,595.0,0.0,89.0,4616.0,87.0,16.0,2019.0,Fell Seal: Arbiter's Mark,29.99,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.20962439462990948
2299900.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2299900/header.jpg?t=1734646118,1,0,0,0.0,3197.0,"['Jozef Pavelka', 'Vlado Ganaj']",['Tutto Passa'],3410.0,43.0,50000 - 100000,0.0,0.0,0.0,0.0,98.0,3232.0,98.0,112.0,2024.0,Felvidek,10.99,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1759909013666341
1024800.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1024800/header.jpg?t=1734177567,1,0,0,0.0,0.0,"['Zee Vital', 'Marco Marco']",['Zee Vital'],0.0,0.0,0 - 20000,0.0,0.0,0.0,0.0,67.0,924.0,-1.0,-1.0,2019.0,Femdom Waifu,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.057877174001851564
585550.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/585550/header.jpg?t=1528406063,1,0,0,0.0,1023.0,"['hyperboreanGames', 'Svarog Studios']",['Back To Basics Gaming'],1018.0,269.0,200000 - 500000,0.0,0.0,0.0,0.0,79.0,1023.0,-1.0,-1.0,2017.0,FEMINAZI: The Triggering,0.99,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06747430037760531
427100.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/427100/header.jpg?t=1734607106,1,0,0,0.0,7205.0,['TML-Studios'],['Aerosoft GmbH'],8179.0,2808.0,500000 - 1000000,2913.0,0.0,4876.0,0.0,71.0,7210.0,68.0,50.0,2016.0,Fernbus Simulator,29.99,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2517081869910791
1360980.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1360980/header.jpg?t=1723887433,1,1,1,0.0,2339.0,['ViNovella Games'],['ViNovella Games'],0.0,0.0,0 - 20000,274.0,0.0,274.0,0.0,84.0,2343.0,72.0,18.0,2020.0,Fetish Locator Week One,3.99,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.14564048599209437
2231010.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2231010/header.jpg?t=1738835999,1,1,1,0.0,770.0,['ViNovella Games'],['ViNovella Games'],0.0,0.0,0 - 20000,175.0,102.0,291.0,102.0,72.0,770.0,73.0,19.0,2023.0,Fetish Locator Week Three,11.99,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.040688725948076356
699670.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/699670/header.jpg?t=1725181140,1,1,1,76.0,770.0,['Attu Games'],['Attu Games'],633.0,250.0,100000 - 200000,225.0,0.0,248.0,0.0,69.0,772.0,70.0,10.0,2019.0,Feudal Alloy,16.99,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.04093325297413521
224760.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/224760/header.jpg?t=1572375251,1,1,1,91.0,10830.0,['Polytron Corporation'],['Trapdoor'],14183.0,1113.0,1000000 - 2000000,533.0,0.0,127.0,0.0,93.0,10837.0,88.0,59.0,2013.0,FEZ,9.99,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2901664038845357
503620.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/503620/header.jpg?t=1648560242,1,0,0,64.0,1002.0,['Scraping Bottom Games'],['Scraping Bottom Games'],884.0,242.0,100000 - 200000,0.0,0.0,0.0,0.0,78.0,1002.0,-1.0,-1.0,2017.0,Fictorum,9.99,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06551849782703693
